ecz,year,cdf_release,cdf_disbursed,cdf_expenditure,cdf_burn_rate,projects_release,projects_expenditure,project_burn_rate,loans_issued,loans_due,loans_recovered,repay_rate
bahati,2022,25.739911,23.739911,4.657582,0.18094786730226067,11.938162,0,0,NA,NA,NA,NA
bahati,2023,27.261469,26.209036,18.379583,0.6741963538355178,14.279546,6.047867,0.4235335633219712,NA,NA,NA,NA
bahati,2024,23.395045,20.695045,38.883176,0.9704710625697796,28.348527,24.348557,0.8589002525598597,4.851308,0.770821,0.22626,0.29353118298541425
bangweulu,2022,25.739911,23.739911,4.315441,0.16765563020011995,12.855162,0,0,NA,NA,NA,NA
bangweulu,2023,27.26147,26.22294,18.929968,0.6943854458325248,14.762086,9.70224,0.6572404469124485,NA,NA,NA,NA
bangweulu,2024,21.443482,18.413482,42.866621,0.886667935030641,28.118729,26.581332,0.9453248046880072,NA,NA,NA,NA
bwacha,2022,25.7,23.739911,4.686583,0.1823573151750973,12.855162,2.477107,0.19269356543309216,NA,NA,NA,NA
bwacha,2023,28.198218,28.082534,34.013296,1.2062214711582129,15.216294,8.534383,0.5608713264872511,3.856453,0.385745,0.154348,0.40012961930809215
bwacha,2024,24.386872,21.686872,25.449823,0.6745098081829184,17.825525,9.899159,0.5553361822442817,6.201788,0.989457,0.337508,0.34110426223676216
bwana mkubwa,2022,25.739911,23.739911,5.045635,0.19602379355546337,11.938162,0.131607,0.01102405881240345,NA,NA,NA,NA
bwana mkubwa,2023,28.198221,28.08254,22.690089,0.8046638474107994,15.198297,6.896431,0.45376340520256975,0,0,0,NA
bwana mkubwa,2024,10.875971,8.175971,36.853554,0.9681533484774518,19.613051,17.796869,0.9073993128351115,9.420456,4.778124,0.594677,0.12445826018747108
bweengwa,2022,25.739911,23.739911,10.166437,0.3949678380783834,11.938162,4.210245,0.35267112307572973,NA,NA,NA,NA
bweengwa,2023,27.26147,26.22294,27.898987,1.0233852759957551,15.32445,12.863687,0.8394224262534707,5.141831,6.122589,0,0
bweengwa,2024,10.233333,8,24.055214,0.9867969344629088,13.737476,13.827097,1.0065238330534665,2.765644,2.624885,0.26085,0.09937578217712396
chadiza,2022,25.739911,23.739911,5.67951,0.2206499470802366,11.938162,0.3075,0.02575773389572029,NA,NA,NA,NA
chadiza,2023,27.26147,26.209038,25.779146,0.945625676091568,14.279546,11.368053,0.7961074532761756,5.083597,0.245485,0.128817,0.5247448927633053
chadiza,2024,24.845238,21.145238,42.721673,0.9073280735851632,30.120454,28.800187,0.9561670949581303,4.257288,1.394403,0.873235,0.6262429154268888
chama north,2022,25.739911,23.739911,4.144285,0.16100618995924268,11.938162,0.3075,0.02575773389572029,NA,NA,NA,NA
chama north,2023,27.26147,26.209038,24.768244,0.9085439633299304,14.762086,13.403931,0.9079970811713196,3.107808,0.119059,0.09513,0.7990156141072914
chama north,2024,18.864608,15.834608,39.120867,0.9920497042403252,29.367939,28.532224,0.971543287392418,3.668,2.253265,0.400164,0.17759295954980883
chama south,2022,25.739911,23.739911,4.114386,0.15984460863131966,11.938162,0,0,NA,NA,NA,NA
chama south,2023,27.26147,26.209038,21.991149,0.8066750985915286,14.762086,9.978022,0.6759222240000499,3.107808,0.079534,0.246633,3.100975683355546
chama south,2024,23.236375,20.206375,42.029245,0.890697935084353,35.646625,31.074287000000002,0.8717315313862112,NA,NA,NA,NA
chasefu,2022,25.48917,25.48917,8.40686,0.3298208611735886,11.938162,2.806662,0.2351000095324557,NA,NA,NA,NA
chasefu,2023,27.26147,26.209038,21.868151,0.8021633096087628,14.244118,9.575785,0.6722624033302729,5.678228,0.76916,0.329942,0.4289640646939518
chasefu,2024,26.64986,23.94986,39.932791,0.8312905236214688,29.767362,25.003898,0.8399769519381663,4.347533,3.019054,0.133785,0.04431354987356967
chavuma,2022,25.739911,23.739911,2.430662,0.09443163964319844,11.938162,0,0,NA,NA,NA,NA
